# C initSynchTables dump: F(x) and Ga(x)
# SYNCH_N_X=2000  SYNCH_X_MIN=1.0e-05  SYNCH_X_MAX=5.0e+01
# Columns: i  x  F(x)  Ga(x)
       i               x            F(x)           Ga(x)
     114    2.410085e-05    6.204613e-02    1.602416e+00
     115    2.428754e-05    6.220570e-02    1.602416e+00
     116    2.447567e-05    6.236568e-02    1.602416e+00
     117    2.466527e-05    6.252607e-02    1.602416e+00
     118    2.485633e-05    6.268687e-02    1.602416e+00
     119    2.504887e-05    6.284808e-02    1.602416e+00
     120    2.524290e-05    6.300971e-02    1.602416e+00
     121    2.543844e-05    6.317175e-02    1.602416e+00
     122    2.563549e-05    6.333420e-02    1.602416e+00
     123    2.583407e-05    6.349707e-02    1.602416e+00
     124    2.603418e-05    6.366036e-02    1.602416e+00
     125    2.623585e-05    6.382407e-02    1.602416e+00
     126    2.643907e-05    6.398820e-02    1.602416e+00
     127    2.664388e-05    6.415275e-02    1.602416e+00
     128    2.685026e-05    6.431772e-02    1.602416e+00
     129    2.705825e-05    6.448311e-02    1.602416e+00
     130    2.726785e-05    6.464893e-02    1.602416e+00
     131    2.747907e-05    6.481517e-02    1.602416e+00
     132    2.769193e-05    6.498184e-02    1.602416e+00
     133    2.790643e-05    6.514893e-02    1.602416e+00
     134    2.812260e-05    6.531646e-02    1.602416e+00
     135    2.834045e-05    6.548441e-02    1.602416e+00
     136    2.855998e-05    6.565280e-02    1.602416e+00
     137    2.878121e-05    6.582161e-02    1.602416e+00
     138    2.900415e-05    6.599086e-02    1.602416e+00
     139    2.922882e-05    6.616054e-02    1.602416e+00
     140    2.945523e-05    6.633066e-02    1.602416e+00
     141    2.968340e-05    6.650121e-02    1.602416e+00
     142    2.991333e-05    6.667220e-02    1.602416e+00
     143    3.014505e-05    6.684363e-02    1.602416e+00
     144    3.037856e-05    6.701550e-02    1.602416e+00
     145    3.061387e-05    6.718781e-02    1.602416e+00
     146    3.085101e-05    6.736056e-02    1.602416e+00
     147    3.108999e-05    6.753375e-02    1.602416e+00
     148    3.133082e-05    6.770739e-02    1.602416e+00
     149    3.157351e-05    6.788147e-02    1.602416e+00
     150    3.181809e-05    6.805600e-02    1.602416e+00
     151    3.206456e-05    6.823097e-02    1.602416e+00
     152    3.231294e-05    6.840639e-02    1.602416e+00
     153    3.256324e-05    6.858227e-02    1.602416e+00
     154    3.281548e-05    6.875859e-02    1.602416e+00
     155    3.306967e-05    6.893536e-02    1.602416e+00
     156    3.332584e-05    6.911259e-02    1.602416e+00
     157    3.358398e-05    6.929027e-02    1.602416e+00
     158    3.384413e-05    6.946841e-02    1.602416e+00
     159    3.410629e-05    6.964700e-02    1.602416e+00
     160    3.437049e-05    6.982605e-02    1.602416e+00
     161    3.463673e-05    7.000556e-02    1.602416e+00
     162    3.490503e-05    7.018553e-02    1.602416e+00
     163    3.517541e-05    7.036596e-02    1.602416e+00
     164    3.544789e-05    7.054685e-02    1.602416e+00
     165    3.572247e-05    7.072821e-02    1.602416e+00
     166    3.599918e-05    7.091003e-02    1.602416e+00
     167    3.627804e-05    7.109231e-02    1.602416e+00
     168    3.655906e-05    7.127507e-02    1.602416e+00
     169    3.684225e-05    7.145829e-02    1.602416e+00
     170    3.712764e-05    7.164198e-02    1.602416e+00
     171    3.741523e-05    7.182614e-02    1.602416e+00
     172    3.770506e-05    7.201077e-02    1.602416e+00
     173    3.799713e-05    7.219587e-02    1.602416e+00
     174    3.829146e-05    7.238145e-02    1.602416e+00
     175    3.858807e-05    7.256750e-02    1.602416e+00
     176    3.888698e-05    7.275403e-02    1.602416e+00
     177    3.918821e-05    7.294104e-02    1.602415e+00
     178    3.949177e-05    7.312853e-02    1.602415e+00
     179    3.979768e-05    7.331649e-02    1.602415e+00
     180    4.010596e-05    7.350494e-02    1.602415e+00
     181    4.041663e-05    7.369387e-02    1.602415e+00
     182    4.072970e-05    7.388329e-02    1.602415e+00
     183    4.104520e-05    7.407318e-02    1.602415e+00
     184    4.136314e-05    7.426357e-02    1.602415e+00
     185    4.168355e-05    7.445444e-02    1.602415e+00
     186    4.200644e-05    7.464580e-02    1.602415e+00
     187    4.233183e-05    7.483765e-02    1.602415e+00
     188    4.265974e-05    7.502999e-02    1.602415e+00
     189    4.299019e-05    7.522283e-02    1.602415e+00
     190    4.332320e-05    7.541615e-02    1.602415e+00
     191    4.365879e-05    7.560998e-02    1.602415e+00
     192    4.399698e-05    7.580429e-02    1.602415e+00
     193    4.433778e-05    7.599911e-02    1.602415e+00
     194    4.468123e-05    7.619442e-02    1.602415e+00
     195    4.502734e-05    7.639024e-02    1.602415e+00
     196    4.537613e-05    7.658655e-02    1.602415e+00
     197    4.572762e-05    7.678337e-02    1.602415e+00
     198    4.608184e-05    7.698069e-02    1.602415e+00
     199    4.643880e-05    7.717852e-02    1.602415e+00
     200    4.679852e-05    7.737685e-02    1.602415e+00
     201    4.716103e-05    7.757569e-02    1.602415e+00
     202    4.752635e-05    7.777503e-02    1.602415e+00
     203    4.789449e-05    7.797489e-02    1.602415e+00
     204    4.826549e-05    7.817526e-02    1.602415e+00
     205    4.863937e-05    7.837614e-02    1.602415e+00
     206    4.901614e-05    7.857754e-02    1.602415e+00
     207    4.939582e-05    7.877945e-02    1.602415e+00
     208    4.977845e-05    7.898188e-02    1.602415e+00
     209    5.016405e-05    7.918482e-02    1.602415e+00
     210    5.055263e-05    7.938828e-02    1.602415e+00
     211    5.094422e-05    7.959227e-02    1.602415e+00
     212    5.133884e-05    7.979677e-02    1.602415e+00
     213    5.173652e-05    8.000180e-02    1.602415e+00
     214    5.213728e-05    8.020736e-02    1.602415e+00
     215    5.254114e-05    8.041343e-02    1.602415e+00
     216    5.294814e-05    8.062004e-02    1.602415e+00
     217    5.335828e-05    8.082717e-02    1.602415e+00
     218    5.377161e-05    8.103484e-02    1.602415e+00
     219    5.418813e-05    8.124303e-02    1.602415e+00
     220    5.460788e-05    8.145176e-02    1.602415e+00
     221    5.503088e-05    8.166102e-02    1.602415e+00
     222    5.545716e-05    8.187082e-02    1.602415e+00
     223    5.588674e-05    8.208115e-02    1.602415e+00
     224    5.631965e-05    8.229202e-02    1.602415e+00
     225    5.675592e-05    8.250343e-02    1.602415e+00
     226    5.719556e-05    8.271537e-02    1.602415e+00
     227    5.763860e-05    8.292786e-02    1.602415e+00
     228    5.808508e-05    8.314090e-02    1.602415e+00
     229    5.853502e-05    8.335448e-02    1.602415e+00
     230    5.898844e-05    8.356860e-02    1.602415e+00
     231    5.944538e-05    8.378327e-02    1.602415e+00
     232    5.990585e-05    8.399849e-02    1.602415e+00
     233    6.036989e-05    8.421426e-02    1.602415e+00
     234    6.083753e-05    8.443058e-02    1.602415e+00
     235    6.130879e-05    8.464746e-02    1.602415e+00
     236    6.178370e-05    8.486488e-02    1.602415e+00
     237    6.226229e-05    8.508287e-02    1.602415e+00
     238    6.274458e-05    8.530141e-02    1.602415e+00
     239    6.323061e-05    8.552051e-02    1.602415e+00
     240    6.372041e-05    8.574016e-02    1.602415e+00
     241    6.421400e-05    8.596038e-02    1.602415e+00
     242    6.471141e-05    8.618117e-02    1.602415e+00
     243    6.521268e-05    8.640251e-02    1.602415e+00
     244    6.571783e-05    8.662442e-02    1.602415e+00
     245    6.622689e-05    8.684690e-02    1.602415e+00
     246    6.673989e-05    8.706995e-02    1.602415e+00
     247    6.725687e-05    8.729356e-02    1.602415e+00
     248    6.777786e-05    8.751775e-02    1.602415e+00
     249    6.830288e-05    8.774251e-02    1.602415e+00
     250    6.883196e-05    8.796784e-02    1.602415e+00
     251    6.936515e-05    8.819375e-02    1.602415e+00
     252    6.990246e-05    8.842024e-02    1.602415e+00
     253    7.044394e-05    8.864730e-02    1.602415e+00
     254    7.098961e-05    8.887494e-02    1.602415e+00
     255    7.153951e-05    8.910317e-02    1.602415e+00
     256    7.209367e-05    8.933198e-02    1.602415e+00
     257    7.265212e-05    8.956137e-02    1.602415e+00
     258    7.321489e-05    8.979134e-02    1.602415e+00
     259    7.378203e-05    9.002191e-02    1.602415e+00
     260    7.435356e-05    9.025306e-02    1.602415e+00
     261    7.492951e-05    9.048480e-02    1.602415e+00
     262    7.550993e-05    9.071714e-02    1.602415e+00
     263    7.609484e-05    9.095006e-02    1.602415e+00
     264    7.668429e-05    9.118358e-02    1.602415e+00
     265    7.727830e-05    9.141770e-02    1.602415e+00
     266    7.787691e-05    9.165242e-02    1.602415e+00
     267    7.848016e-05    9.188773e-02    1.602415e+00
     268    7.908808e-05    9.212364e-02    1.602415e+00
     269    7.970071e-05    9.236016e-02    1.602415e+00
     270    8.031809e-05    9.259728e-02    1.602415e+00
     271    8.094025e-05    9.283500e-02    1.602415e+00
     272    8.156722e-05    9.307333e-02    1.602415e+00
     273    8.219906e-05    9.331227e-02    1.602415e+00
     274    8.283579e-05    9.355182e-02    1.602415e+00
     275    8.347745e-05    9.379197e-02    1.602415e+00
     276    8.412408e-05    9.403275e-02    1.602415e+00
     277    8.477572e-05    9.427413e-02    1.602415e+00
